experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,dataset_id,row_scope,original_bytes,scheduled_trials,successful_trials,status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,entropy_saved_bytes_median,entropy_penalty_bytes_median,procedural_gain_bytes_median,procedural_penalty_bytes_median,container_overhead_bytes_median,function_graph_bytes_median,coordinate_bytes_median,shared_definition_bytes_median,reference_bytes_median,parameter_bytes_median,residual_layer_bytes_median,literal_leaf_bytes_median,entropy_metadata_bytes_median,index_bytes_median,node_count_median,shared_node_count_median,residual_depth_sum_median,residual_root_count_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,coordinate_saved_bytes_median,dag_saved_bytes_median,recursive_residual_saved_bytes_median,symbolic_saved_bytes_median,search_ns_median,archive_bytes_median,procedural_coverage,literal_fraction,procedural_gain_before_entropy_bytes,procedural_gain_bytes,entropy_coder_gain_bytes,entropy_coder_penalty_bytes,procedural_penalty_bytes,average_residual_depth,search_time_per_saved_byte_ns,time_per_saved_byte_basis
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-control-ietf-flac-mono-audio,file,47782,10,10,complete,48270,48270,8668,0,8668,0,472,8,0,0,0,0,0,39108,14,,2,0,0,0,0,47782,,,,,,39602,0,1,0,8668,8668,0,0,,7534.371481310568,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-control-libavif-v1-2-1-avif,file,21132,10,10,complete,21620,21620,3284,0,3284,0,472,8,0,0,0,0,0,17842,14,,2,0,0,0,0,21132,,,,,,18336,0,1,0,3284,3284,0,0,,10284.443818514008,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-control-minimp3-ill2-layer3,file,9600,10,10,complete,10084,10084,25,0,25,0,472,6,0,0,0,0,0,9570,11,,2,0,0,0,0,9600,,,,,,10059,0,1,0,25,25,0,0,,706036.83999999997,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-build-rs,file,2471,10,10,complete,2955,2955,1082,0,1082,0,472,6,0,0,0,0,0,1384,11,,2,0,0,0,0,2471,,,,,,1873,0,1,0,1082,1082,0,0,,30681.607670979669,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-crate-root-rs,file,7081,10,10,complete,7565,7565,4858,0,4858,0,472,6,0,0,0,0,0,2218,11,,2,0,0,0,0,7081,,,,,,2707,0,1,0,4858,4858,0,0,,6896.7896253602303,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-de-ignored-any-rs,file,6154,10,10,complete,6638,6638,3856,0,3856,0,472,6,0,0,0,0,0,2293,11,,2,0,0,0,0,6154,,,,,,2782,0,1,0,3856,3856,0,0,,9010.7359958506222,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-de-impls-rs,file,97134,10,10,complete,97622,97622,82459,0,82459,0,472,7,0,0,0,0,0,14672,12,,2,0,0,0,0,97134,,,,,,15163,0,1,0,82459,82459,0,0,,1408.7784232163863,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-de-mod-rs,file,83879,10,10,complete,84367,84367,64114,0,64114,0,472,8,0,0,0,0,0,19759,14,,2,0,0,0,0,83879,,,,,,20253,0,1,0,64114,64114,0,0,,1812.6689178650529,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-de-value-rs,file,48848,10,10,complete,49336,49336,40416,0,40416,0,472,7,0,0,0,0,0,8429,12,,2,0,0,0,0,48848,,,,,,8920,0,1,0,40416,40416,0,0,,1635.6875371140143,compression_wall_ns
validation-v1-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,eb89ca9bad1783e5aada0b0b7b949e1097f0f3dfb84dcd87dd1006670a8e8e5e,1297748005,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,validation,mathsvg,balanced-v1,balanced,1,validation-crates-io-serde-1-0-229-src-core-format-rs,file,726,10,10,complete,1210,1210,232,0,232,0,472,6,0,0,0,0,0,489,11,,2,0,0,0,0,726,,,,,,978,0,1,0,232,232,0,0,,73203.075431034478,compression_wall_ns
